"num_caso","SEX","FEC_NAC","FEC_RIG_PEN","MON_PENSION","Edad","T_Pension"
330,"F","1955/03/14","2017/03/18",49761.1,65,3
331,"M","1947/03/30","2009/08/17",149528.55,73,11
332,"F","1955/08/04","2016/04/30",120916.85,65,4
333,"F","1957/03/05","2017/02/18",322912,63,3
334,"F","1956/11/05","2016/10/29",152810.4,64,4
335,"M","1956/12/25","2018/12/22",212819.15,64,2
336,"M","1957/01/30","2019/04/27",31995.85,63,1
337,"F","1957/03/02","2017/11/25",177470.05,63,3
338,"F","1957/03/30","2018/05/26",133753.6,63,2
339,"M","1957/03/18","2019/02/19",151887.95,63,1
340,"M","1957/03/14","2019/03/30",324120,63,1
341,"M","1957/02/09","2019/01/20",175741.9,63,1
342,"M","1957/04/04","2019/03/04",324120,63,1
343,"M","1957/03/29","2019/03/01",84291.2,63,1
344,"F","1956/09/17","2017/02/27",266541.3,64,3
345,"F","1957/05/20","2017/05/27",322912,63,3
346,"F","1950/06/17","2013/04/08",146317.6,70,7
347,"M","1957/04/23","2019/03/30",152609.45,63,1
348,"M","1957/05/14","2020/02/28",100505.6,63,0
349,"F","1957/02/24","2017/01/24",184625.2,63,3
350,"F","1954/03/11","2017/09/30",225371.85,66,3
351,"F","1957/05/27","2017/12/23",321273.55,63,3
352,"F","1957/04/30","2017/05/27",62350.35,63,3
353,"F","1957/05/30","2017/05/13",174870.95,63,3
354,"M","1957/05/21","2019/04/27",207822.25,63,1
355,"F","1955/12/05","2015/12/05",318433.85,65,5
356,"F","1953/07/11","2014/02/12",300437.35,67,6
357,"M","1957/05/25","2019/12/21",116482.5,63,1
358,"M","1957/06/10","2019/09/28",129890.1,63,1
359,"F","1957/05/28","2017/04/29",186075.7,63,3
360,"M","1955/07/08","2018/03/31",101928.7,65,2
361,"M","1957/05/25","2019/04/27",111593.95,63,1
362,"F","1957/03/13","2017/03/01",127912.95,63,3
363,"M","1957/04/08","2019/03/30",147265.85,63,1
